sample.ID	S	reference
HG01464	0.161095156354302	TRUE
HG01465	0.228048036372792	TRUE
HG01468	0.247098998324782	TRUE
HG01474	0.162910231040939	TRUE
HG01479	0.169549042397461	TRUE
HG01485	0.24718475096831	TRUE
HG01486	0.158419873380222	TRUE
HG01488	0.193256213796379	TRUE
HG01489	0.18006439119653	TRUE
HG01491	0.145648896576528	TRUE
HG01492	0.175040120905423	TRUE
HG01494	0.18332041997815	TRUE
HG01495	0.170219495886554	TRUE
HG01497	0.129809456858592	TRUE
HG01498	0.150825155826524	TRUE
HG01500	0.130696670578025	TRUE
HG01501	0.157990076219433	TRUE
HG01503	0.154039499468223	TRUE
HG01504	0.14812504783143	TRUE
HG01506	0.119328999595566	TRUE
HG01507	0.117815136662742	TRUE
HG01509	0.139166126781372	TRUE
HG01510	0.120155509607232	TRUE
HG01512	0.160243877087148	TRUE
HG01513	0.123746357955571	TRUE
HG01515	0.140752547764484	TRUE
HG01516	0.158724367079422	TRUE
HG01518	0.122353496436666	TRUE
HG01519	0.123946038010511	TRUE
HG01521	0.187054145684496	TRUE
HG01522	0.150430501712624	TRUE
HG01524	0.113433803545937	TRUE
HG01525	0.152982493690128	TRUE
HG01527	0.151424986887785	TRUE
HG01528	0.146386419752429	TRUE
HG01530	0.11140029687639	TRUE
HG01531	0.122023595374376	TRUE
HG01536	0.149296802353418	TRUE
HG01537	0.138564465404176	TRUE
HG01550	0.152443149190353	TRUE
HG01551	0.225846403588165	TRUE
HG01556	0.167533759636052	TRUE
HG01565	0.142865579943702	TRUE
HG01566	0.218075627408581	TRUE
HG01571	0.12486483706499	TRUE
HG01572	0.123801922360103	TRUE
HG01577	0.215377720593798	TRUE
HG01578	0.146479415553399	TRUE
HG01583	0.133075900645473	TRUE
HG01586	0.16377574348327	TRUE
HG01589	0.126547970687263	TRUE
HG01593	0.129334657225225	TRUE
HG01595	0.11284379775059	TRUE
HG01596	0.0925589452967443	TRUE
HG01597	0.0916649178145307	TRUE
HG01598	0.079300109126525	TRUE
HG01599	0.104093962543402	TRUE
HG01600	0.116314942711773	TRUE
HG01602	0.137635800219791	TRUE
HG01603	0.121870145931259	TRUE
HG01605	0.119478738402828	TRUE
HG01606	0.13293878948115	TRUE
HG01607	0.13748547513766	TRUE
HG01608	0.147995513726008	TRUE
HG01610	0.138359064404863	TRUE
HG01612	0.158624563628393	TRUE
HG01613	0.142545831426567	TRUE
HG01615	0.128586973168543	TRUE
HG01617	0.158721039240093	TRUE
HG01618	0.135493414064132	TRUE
HG01619	0.119871138861394	TRUE
HG01620	0.139181481301262	TRUE
HG01623	0.122715124362775	TRUE
HG01624	0.141755975333448	TRUE
HG01625	0.172849001593742	TRUE
HG01626	0.157499807435808	TRUE
HG01628	0.2149243781782	TRUE
HG01630	0.127335707339896	TRUE
HG01631	0.165693106247357	TRUE
HG01632	0.148397481754439	TRUE
HG01668	0.151921705924605	TRUE
HG01669	0.161239241163245	TRUE
HG01670	0.115828890390534	TRUE
HG01672	0.133371860498882	TRUE
HG01673	0.139069117760225	TRUE
HG01675	0.133823277677151	TRUE
HG01676	0.150338819631788	TRUE
HG01678	0.15591866979099	TRUE
HG01679	0.148613018713922	TRUE
HG01680	0.16434966300232	TRUE
HG01682	0.139738974268594	TRUE
HG01684	0.164527683063411	TRUE
HG01685	0.223085665849745	TRUE
HG01686	0.148327864759206	TRUE
HG01694	0.136693341460441	TRUE
HG01695	0.134498344376026	TRUE
HG01697	0.136300146753858	TRUE
HG01699	0.125892529697396	TRUE
HG01700	0.168510987734849	TRUE
HG01702	0.175902233060426	TRUE
HG01704	0.130414968023232	TRUE
HG01705	0.126516571308316	TRUE
HG01707	0.152585691228756	TRUE
HG01708	0.167807657465872	TRUE
HG01709	0.124364530219645	TRUE
HG01710	0.152689195731117	TRUE
HG01746	0.148771436539886	TRUE
HG01747	0.144950883558067	TRUE
HG01756	0.132510105308497	TRUE
HG01757	0.144184463735899	TRUE
HG01761	0.147490372837349	TRUE
HG01762	0.120997666666082	TRUE
HG01765	0.112784507443672	TRUE
HG01766	0.115884619936034	TRUE
HG01767	0.118168403512762	TRUE
HG01768	0.116636609601252	TRUE
HG01770	0.134008752044475	TRUE
