V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
0.000958505901514463	7.21745907998701e-05	-2.93097571136881e-05	1.71645002237247e-05	-0.00016618576788317	0.000562697148074739	-0.000164441217513928	-0.00248398677298786	0.000130867569365216	-0.00518477999020271	0.999967138057888	-0.00069279466532742	-0.0002366796423042	-0.000424600308264328	-8.68730156610631e-05	0.000202112446749307	-0.000131202310647116	0.000175120064976933	0.00141173836158445	-0.000435113047664759
-0.000546032433299734	-4.12363045821408e-05	2.12124324349231e-05	-1.1729474371281e-05	0.000160241254431761	0.000497632281813177	0.000122043977523175	0.00174538451920743	6.35209638244277e-05	0.00108332591015357	0.00092801245605505	0.999979945207325	0.000260422007838563	0.000232716210674825	0.000100672867002161	-0.000216912176921936	0.000292400212590178	0.000103128596213658	-0.0022258523335059	0.000661206640842249
-0.000572774926393178	-4.36034225661313e-05	1.83073850683871e-05	-1.06133415262813e-05	7.09284382845599e-05	-0.000584218957091225	6.4687556925511e-05	0.00108439812219328	-1.58685690394555e-05	0.00146053780930422	0.000519722722138476	-0.00039424555795693	0.999987381064062	0.000695079912953292	-6.06678046466363e-05	-0.000576081156325696	-0.000493191988762545	-2.88012979935424e-05	-0.00119715076130697	0.000477248028623736
-0.000689736277053521	-5.33459493963432e-05	2.6195945790888e-05	-1.24878899390322e-05	0.000134874024485438	-0.000212884715419883	0.00012089425746177	0.00165056287643728	-2.28129485681559e-05	0.00143353971709604	0.000752412819396487	-0.000419459993453456	-0.000901251504642672	0.999972935814683	0.000165205484542276	0.000680431614844839	-0.000281930154637187	0.000114829987063379	-0.00257971139720622	0.000919778222628889
-0.000140760516202801	-1.05050032937984e-05	4.45437402356753e-06	-1.89029349362528e-06	-8.33379971729775e-06	-0.000361614193448539	8.12536156935907e-06	0.000103548283073417	1.94289443798644e-05	0.000461712997027465	0.000163322795559625	-0.000123735872803799	7.1640984724849e-06	-0.000219142352891574	0.999995505334485	0.00153325353915567	-0.000101560156607182	0.00013736193275853	-0.000176146036410676	0.000141979084017731
0.000464234268860849	3.67111402164452e-05	-1.68121568547589e-05	6.46578638051493e-06	-9.15614837115733e-05	-6.71278637760613e-05	-7.89359526827791e-05	-0.0011260745243825	-2.1473271905595e-05	-0.000592773102326964	-0.000416698969871486	0.000362020820434441	0.000709127367493725	-0.00050872072412322	-0.00150717727325622	0.999973920409046	-0.000152435885874501	0.000298888137176397	0.00282368106423105	-0.000935077906834979
-0.00304652667724556	-0.000215302296929132	0.000133167343309255	-8.76046442403544e-05	0.00172019061166603	0.0136879303961908	0.00132045897221613	0.015448655521011	-0.000279717630287218	-0.00271368484423622	0.0014611705247505	-0.00249934004096526	-9.59785506244831e-05	-0.00142922170253201	0.000307514472562849	0.00200158576581356	0.977828347072669	-0.0015216162612518	-0.122489143456554	0.0255558678487453
-0.0189495253388104	-0.00140841405657515	0.000699978896777865	-0.000446459339729209	0.00652334356077403	0.0343780869609573	0.00516434242737947	0.0638496350876843	-0.000189545318631152	0.00503912218437158	0.00962674872767822	-0.0103311242944585	-0.00573656843145694	-0.0102324987156676	-0.000319684784050994	0.00949388822279938	-0.268020667065642	-0.00986731454685265	-0.607606367532883	0.145687890457336
0.000613989340450454	4.7907782256156e-05	-1.46639651118067e-05	1.46094096540205e-05	-2.01094649057806e-05	0.00113957329052054	-3.75104271829547e-05	-0.000636377293497251	3.49485213047038e-05	-0.00103796943481145	-0.000173658153771913	0.000253623192341673	0.000224467697934301	0.000391215532782574	0.000225314954319343	0.000130467560595756	-0.000589750309903379	-0.999867342589258	0.00750068453856515	-0.00510253153474369
0.00477847050352606	0.000376415618933537	-0.000139960866003532	7.88318650192642e-05	-0.000304210668842994	0.00739814795551222	-0.000368971604148795	-0.0062047034597502	-5.35601327346475e-05	-0.00755023512600938	-0.00270031585593538	0.0011321542511829	0.00200684628305171	0.00215240064163454	0.000682906659050625	-0.00132168724535395	-0.0102501952589814	0.00547467953276719	-0.361906329504572	-0.919971402145076
