"rank","expected","before","after"
96788,4.59181385596836,6.46520369001309,4.64904750063653
97341,4.91691275847932,6.88966659480623,4.9542734921532
97894,5.32140666713168,7.47907444493522,5.37810934077937
98447,5.85475732049333,8.22582239249981,5.91508649504805
99000,6.63400613930722,9.29694919211786,6.68532044426165
99001,6.63578751918402,9.30310657679269,6.68974814293991
99006,6.64472190707421,9.30797985273623,6.6932524550129
99011,6.65370245043502,9.31968474215441,6.70166929530192
99016,6.66272962035018,9.32495249089597,6.70545726785393
99021,6.67180389512965,9.34339208104374,6.7187169476103
99026,6.68092576045804,9.35618892936219,6.72791900195281
99031,6.69009570954665,9.37050836903439,6.738215932786
99036,6.69931424328974,9.37964604290705,6.74478672033055
99041,6.70858187042461,9.38623714330732,6.74952629858849
99046,6.71789910769606,9.40291367388432,6.76151818415244
99051,6.72726648002503,9.41689748820939,6.77157377097606
99056,6.7366845206818,9.42952831004685,6.78065643774264
99061,6.74615377146381,9.4334695145566,6.78349050884915
99066,6.75567478287811,9.43512718577399,6.78468251958842
99071,6.76524811432885,9.44576973715122,6.79233544581519
99076,6.77487433430979,9.45956094841588,6.80225253417542
99081,6.78455402060194,9.47126045020367,6.81066550028648
99086,6.79428776047686,9.48694204902467,6.82194194280868
99091,6.80407615090523,9.49759946246586,6.82960555616066
99096,6.81391979877141,9.51223979979774,6.84013324050669
99102,6.8258059855175,9.53567137542641,6.85698259488677
99107,6.83577338625598,9.54065995387696,6.86056981955737
99112,6.84579805568942,9.55696397775791,6.87229384019281
99117,6.85588064481977,9.56281135545128,6.87649861670938
99122,6.86602181577863,9.5724447379749,6.88342586217472
99127,6.87622224208207,9.58925624723875,6.8955148092323
99132,6.88648260889275,9.60752434976107,6.90865117437172
99137,6.89680361328971,9.61823954817301,6.91635634017691
99142,6.90718596454582,9.63103657910878,6.92555852583726
99147,6.91763038441364,9.63603149468717,6.92915030745761
99152,6.92813760741944,9.6664797464162,6.95104526628439
99157,6.93870838116606,9.67640061167281,6.9581792370047
99162,6.94934346664472,9.68318989166664,6.96306132374162
99167,6.96004363855625,9.70651485199587,6.97983401238692
99172,6.97080968564193,9.72444912526811,6.99273032506781
99177,6.98164241102441,9.74756558563174,7.00935308398306
99182,6.99254263255903,9.76023520085036,7.01846364658717
99187,7.0035111831959,9.77428791542367,7.02856877872169
99192,7.01454891135318,9.79648314622184,7.04452909292303
99197,7.02565668130199,9.80513571774174,7.05075104940382
99202,7.03683537356331,9.815011979954,7.05785294663011
99207,7.04808588531738,9.82190995160574,7.06281319218533
99212,7.05940913082611,9.83597337244984,7.07292602306592
99217,7.07080604186889,9.84884421752442,7.08218128755473
99222,7.08227756819245,9.86448406216041,7.09342770516221
99227,7.09382467797516,9.88330955993166,7.10696488628719
99232,7.1054483583065,9.89619276247461,7.11622903687769
99237,7.1171496156822,9.90729409585893,7.12421186753526
99242,7.12892947651547,9.91905229665008,7.13266704336901
99247,7.14078898766562,9.93873289678286,7.14681911795866
99252,7.15272921698388,9.94881436808612,7.15406857848804
99257,7.1647512538777,9.9606681642643,7.16259249577472
99262,7.17685620989425,9.98168244231219,7.17770360155274
99267,7.18904521932357,9.99966779404675,7.1906366441201
99272,7.20131943982252,10.0116933381619,7.19928406321049
99277,7.21368005306029,10.0216260399263,7.20642654541627
99282,7.22612826538616,10.0399610789378,7.21961104375187
99287,7.23866530852088,10.0458129666666,7.22381906337882
99292,7.25129244027214,10.0650905940416,7.23768136527413
99297,7.26401094527568,10.073083886238,7.24342924219948
99303,7.27939561358392,10.0945066758119,7.2588341035311
99308,7.29231979882771,10.1083855721876,7.26881424516321
99313,7.30533965756044,10.1248713772049,7.28066898235116
99318,7.31845659580568,10.1555444500018,7.3027256072095
99323,7.33167205072187,10.1760826126587,7.31749434433612
99328,7.34498749152729,10.1919914099015,7.32893416241545
99333,7.35840442045957,10.204140280575,7.33767026409893
99338,7.37192437377142,10.2347613634717,7.35968950366712
99343,7.38554892276412,10.2585279386931,7.3767797520846
99348,7.39927967486046,10.2738996965958,7.38783339185903
99353,7.41311827471917,10.2866630970525,7.3970113942605
99358,7.42706640539253,10.322077199658,7.4224772346423
99363,7.44112578952931,10.3429873136714,7.43751343735965
99368,7.45529819062519,10.355953231848,7.44683706773271
99373,7.46958541432286,10.3751643734748,7.46065156055407
99378,7.48398930976423,10.3994014006433,7.47808010511093
99383,7.49851177099736,10.4418183104835,7.50858157701075
99388,7.51315473844053,10.4567512966644,7.51931970150149
