sample.ID	sex	Population	Population.Description	Super.Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00141	1	GBR	British in England and Scotland	EUR	98.2341612606043	141.540665955317	-28.4176046307069	-46.3499049787397	-13.2083459366577	0.978114379585072	-7.59162380437926	-0.910483441250152	-6.35464552861013	-7.85492086685668	24.7018248312673	-19.0171077336282	-4.17760931235306	20.8179401256818	8.87717043886941	8.97262589660914	-3.58911627743161	0.279551777495247	-0.176956127585589	-9.257162162819
HG00142	1	GBR	British in England and Scotland	EUR	95.7107966185422	143.149474901171	-25.9893180916348	-49.6504736243071	-9.91685042234403	-0.492895723181441	-5.89463656095584	-0.402597307117695	-4.58393794298152	-8.40929581668517	19.9706859902423	-10.8188671401631	-9.32278089547952	14.3046009278666	1.76167278642913	5.42007749403088	-0.953274501196026	0.294417630189748	-1.50391752711237	3.75870208595922
HG00143	1	GBR	British in England and Scotland	EUR	94.8306785068033	142.215672270843	-26.5259319376822	-45.8640123786309	-11.0358776261907	1.20700314389056	-4.39162673910157	-0.840876385332653	-5.55361914544433	-7.29781894839715	20.2659864049304	-13.2147008910007	-1.88507385406918	12.5739379981497	1.19586623708797	7.28296993624666	-2.03062400169041	2.04670536857873	-4.96024184760861	0.913267197884497
HG00145	1	GBR	British in England and Scotland	EUR	97.1169354934606	139.65913680151	-26.3745636658129	-46.3110085912044	-9.13358248464234	0.896334103080067	-3.83445953992503	-1.66544551575939	-3.9298548311783	-10.9390557046545	25.2526051885526	-18.6499000380334	-7.85852596242319	10.3495011816598	5.50509286578202	5.79764880748258	1.11786914366101	-1.58974302590435	-11.8980791814001	-7.37546044135473
HG00146	2	GBR	British in England and Scotland	EUR	96.6609250468585	140.966912582472	-29.1913963254959	-48.6901444363616	-7.51082114479193	1.17577736803512	-9.37031081831149	0.179733772394409	-1.34509243174945	-10.358292651276	22.2139091136559	-13.7048354355373	-1.8207619198123	20.7064939116806	4.68387793809986	6.25117074719198	0.39682004624563	5.76228667681729	-7.53777086473998	0.00969148923053525
HG00148	1	GBR	British in England and Scotland	EUR	95.7300441406622	141.813861151966	-27.3977239030807	-45.9875904037669	-10.6687972019296	1.82655557265559	-8.06716846445906	-2.83869902475019	-1.47556137696785	-14.9829941831561	28.4342316102233	-19.6093050181668	-9.683032671804	22.5881012909929	5.88183993283011	9.35116374530075	-2.65656502695702	3.27316097479079	-2.54865557734478	-0.810869667008288
HG00149	1	GBR	British in England and Scotland	EUR	94.90695774096	144.217335548229	-30.5378423993117	-49.4578705030652	-14.8526248699397	0.272601507567355	-7.48824244639741	-2.40956855320057	-8.39708052983675	-7.92572968680273	20.2272665508741	-16.1027412423582	-6.08484282915745	21.0760219824108	0.876370531572612	6.53777642517599	-5.48617947371944	-10.5563717704081	-5.9302215356507	1.3347558553729
HG00150	2	GBR	British in England and Scotland	EUR	96.2760259751425	140.325601261994	-28.3108233616427	-47.3603647352028	-10.2045562933595	1.7111911751711	-4.81548277878174	-2.80662142606283	0.813653551104544	-11.2957323660543	25.775296161117	-15.8973995587016	-10.0987878605805	21.1893166656359	8.67334130002616	7.19587476236196	-1.26790082210443	-6.94234038260922	3.57219697264872	0.578520677823962
HG00151	1	GBR	British in England and Scotland	EUR	96.3643169116414	138.632597593602	-26.6349739677353	-44.1076895933725	-11.3351038201884	1.17701659746785	-5.8435056200618	1.73902552475548	-2.11439420852093	-11.3035202549293	25.9223580312695	-13.1515273802592	-4.449375644412	19.4480161687502	5.5266678847799	11.3690049587837	-4.65631261915243	-3.49292484457572	-2.28321571541447	1.30556897771149
HG00154	2	GBR	British in England and Scotland	EUR	96.4647185561987	144.63539405047	-27.6189445099171	-47.8999023979092	-9.53534523647023	0.608883402470529	-1.93585021347882	-1.21251368852665	-7.85438471908795	-7.62825175691527	20.6015501148684	-15.4432522335976	-1.26457649930842	13.3162798145404	5.5067988700135	6.31076466100275	-5.09730614608839	-0.491595668801588	0.754020179223917	-0.82681909217664
